,Compound,Date,Negative,Neutral,Positive,Tweets Ago,target
0,-0.296,Tue Jul 31 23:05:54 +0000 2018,0.732,0.268,0.0,1,BBCWorld
1,0.0,Tue Jul 31 23:03:24 +0000 2018,1.0,0.0,0.0,2,BBCWorld
2,0.0,Tue Jul 31 22:47:08 +0000 2018,1.0,0.0,0.0,3,BBCWorld
3,0.0,Tue Jul 31 22:01:07 +0000 2018,1.0,0.0,0.0,4,BBCWorld
4,0.0,Tue Jul 31 21:43:38 +0000 2018,1.0,0.0,0.0,5,BBCWorld
5,0.0,Tue Jul 31 21:42:30 +0000 2018,1.0,0.0,0.0,6,BBCWorld
6,0.2263,Tue Jul 31 21:28:39 +0000 2018,0.826,0.0,0.174,7,BBCWorld
7,-0.5859,Tue Jul 31 21:10:47 +0000 2018,0.678,0.322,0.0,8,BBCWorld
8,0.0,Tue Jul 31 19:44:26 +0000 2018,1.0,0.0,0.0,9,BBCWorld
9,0.5106,Tue Jul 31 19:01:02 +0000 2018,0.784,0.0,0.216,10,BBCWorld
10,0.1511,Tue Jul 31 18:54:46 +0000 2018,0.933,0.0,0.067,11,BBCWorld
11,-0.5994,Tue Jul 31 18:13:36 +0000 2018,0.672,0.328,0.0,12,BBCWorld
12,0.0,Tue Jul 31 17:10:53 +0000 2018,1.0,0.0,0.0,13,BBCWorld
13,-0.9136,Tue Jul 31 16:31:23 +0000 2018,0.467,0.533,0.0,14,BBCWorld
14,0.0,Tue Jul 31 16:17:37 +0000 2018,1.0,0.0,0.0,15,BBCWorld
15,0.0,Tue Jul 31 15:54:56 +0000 2018,1.0,0.0,0.0,16,BBCWorld
16,-0.7096,Tue Jul 31 15:41:32 +0000 2018,0.723,0.277,0.0,17,BBCWorld
17,0.0,Tue Jul 31 15:38:52 +0000 2018,1.0,0.0,0.0,18,BBCWorld
18,0.0,Tue Jul 31 15:27:59 +0000 2018,1.0,0.0,0.0,19,BBCWorld
19,-0.6597,Tue Jul 31 14:37:16 +0000 2018,0.597,0.403,0.0,20,BBCWorld
20,0.4389,Tue Jul 31 14:35:40 +0000 2018,0.818,0.0,0.182,21,BBCWorld
21,-0.34,Tue Jul 31 13:38:57 +0000 2018,0.769,0.231,0.0,22,BBCWorld
22,-0.34,Tue Jul 31 13:26:28 +0000 2018,0.769,0.231,0.0,23,BBCWorld
23,-0.5106,Tue Jul 31 13:06:21 +0000 2018,0.708,0.292,0.0,24,BBCWorld
24,-0.25,Tue Jul 31 12:53:23 +0000 2018,0.818,0.182,0.0,25,BBCWorld
25,0.1027,Tue Jul 31 12:46:06 +0000 2018,0.735,0.118,0.147,26,BBCWorld
26,0.0772,Tue Jul 31 12:36:38 +0000 2018,0.822,0.0,0.178,27,BBCWorld
27,-0.6486,Tue Jul 31 12:33:58 +0000 2018,0.42,0.441,0.14,28,BBCWorld
28,-0.4404,Tue Jul 31 12:23:52 +0000 2018,0.674,0.326,0.0,29,BBCWorld
29,-0.875,Tue Jul 31 12:08:32 +0000 2018,0.412,0.588,0.0,30,BBCWorld
30,0.4215,Tue Jul 31 12:01:26 +0000 2018,0.763,0.0,0.237,31,BBCWorld
31,-0.7096,Tue Jul 31 11:24:12 +0000 2018,0.576,0.424,0.0,32,BBCWorld
32,-0.7579,Tue Jul 31 10:52:03 +0000 2018,0.516,0.484,0.0,33,BBCWorld
33,-0.0258,Tue Jul 31 10:42:08 +0000 2018,0.879,0.121,0.0,34,BBCWorld
34,0.8176,Tue Jul 31 10:21:49 +0000 2018,0.483,0.0,0.517,35,BBCWorld
35,-0.6124,Tue Jul 31 10:11:57 +0000 2018,0.625,0.375,0.0,36,BBCWorld
36,-0.5859,Tue Jul 31 09:21:52 +0000 2018,0.652,0.348,0.0,37,BBCWorld
37,0.0,Tue Jul 31 08:57:57 +0000 2018,1.0,0.0,0.0,38,BBCWorld
38,0.0,Tue Jul 31 07:52:33 +0000 2018,1.0,0.0,0.0,39,BBCWorld
39,-0.6597,Tue Jul 31 07:47:23 +0000 2018,0.565,0.435,0.0,40,BBCWorld
40,0.4939,Tue Jul 31 07:14:46 +0000 2018,0.814,0.0,0.186,41,BBCWorld
41,-0.9118,Tue Jul 31 07:02:10 +0000 2018,0.341,0.659,0.0,42,BBCWorld
42,0.0,Tue Jul 31 05:49:49 +0000 2018,1.0,0.0,0.0,43,BBCWorld
43,0.0,Tue Jul 31 03:37:41 +0000 2018,1.0,0.0,0.0,44,BBCWorld
44,-0.4588,Tue Jul 31 03:16:41 +0000 2018,0.7,0.3,0.0,45,BBCWorld
45,0.4404,Tue Jul 31 02:40:07 +0000 2018,0.873,0.0,0.127,46,BBCWorld
46,0.0,Tue Jul 31 02:25:20 +0000 2018,1.0,0.0,0.0,47,BBCWorld
47,0.3612,Tue Jul 31 01:52:42 +0000 2018,0.894,0.0,0.106,48,BBCWorld
48,-0.6908,Tue Jul 31 00:54:45 +0000 2018,0.598,0.402,0.0,49,BBCWorld
49,-0.6597,Tue Jul 31 00:44:23 +0000 2018,0.649,0.351,0.0,50,BBCWorld
50,0.0,Tue Jul 31 00:28:38 +0000 2018,1.0,0.0,0.0,51,BBCWorld
51,-0.3612,Tue Jul 31 00:23:25 +0000 2018,0.8,0.2,0.0,52,BBCWorld
52,0.0,Tue Jul 31 00:12:41 +0000 2018,1.0,0.0,0.0,53,BBCWorld
53,-0.128,Tue Jul 31 00:04:09 +0000 2018,0.857,0.143,0.0,54,BBCWorld
54,-0.765,Mon Jul 30 21:42:28 +0000 2018,0.515,0.485,0.0,55,BBCWorld
55,-0.5574,Mon Jul 30 21:31:47 +0000 2018,0.735,0.265,0.0,56,BBCWorld
56,-0.6908,Mon Jul 30 21:07:36 +0000 2018,0.584,0.416,0.0,57,BBCWorld
57,0.3612,Mon Jul 30 19:23:22 +0000 2018,0.737,0.0,0.263,58,BBCWorld
